value,text
Int,String
0,fail
1,ok
2,需要切服务器
3,普通错误
4,操作太频繁
5,异常
6,异常
7,验证码错误
10000,空了
10001,包含敏感词，请修改
10002,包含敏感词，请修改
10003,切服错误
10004,超时处理
10010,access_token_Empty
10011,openid_EMPTY
10012,失效
10013,命名错误
10014,名字长度错误
10015,名字重复
10016,不能操作在线玩家的拷贝
10017,账号在另一个服务器登录，已经踢掉下线了，请重新登陆
10018,CONTINUATION_NOT_INITIAL
10019,CONTINUATION_TIMEOUT
10020,PLATFORM_TYPE_EMPTY
10021,BEST_SERVER_LIST_EMPTY
10022,DEVICE_ID_EMPTY
10023,USER_DATA_EMPTY
10024,CODE_EMPTY
10025,ACCESS_TOKEN_EMPTY
10026,USER_INFO_EMPTY
10027,DEVICE_ID_TOO_LONG
10028,KICK_PUT_CONTAINS
10029,已经失去服务器连接，无法踢人
10030,充值放入重复的订单号
10031,充值连不上gs
10032,找不到切换服务器
10033,找不到服务器
10034,信息填写不足
10035,gs登录bus服务器模板为空
10036,sql注入 
101,找不到玩家
102,找不到房间
103,服务器爆满,请稍后尝试
104,无权执行此操作
105,找不到座位
106,玩家不在线
107,服务器消息处理频繁
108,操作超时
109,没有准备
110,玩家不在线
111,服务器错误
112,已经登录
113,已经加入了房间
114,创房没有指定切牌类型
115,连不上gs
116,登陆超时
117,上次登陆服务器id错误
118,无服务器id
119,已经包含
120,已经在房间中
121,牌局进行中
122,房主不能离开房间
123,加房间无剩余位置
124,下注不能超过庄家
125,下注额度错误
126,不是你切牌
127,已经下注
128,已经看牌
129,未开放
130,已经请求过
131,不在这个状态
132,已经准备好
133,游戏已经结束
134,已经选择了是否下庄
135,已经进行过解散操作
136,游戏记录为空
137,登录session错误
138,登录异常
139,充值找不到用户
140,切服登录找不到gs
141,游戏记录sql异常
142,切服登录异常
143,创建房间失败，已经在房间中
144,创建房间异常
145,加房间预处理，已经在房间中
146,加房间预处理，找不到房间
147,加房间预处理，切服配置为空 
148,加房间失败，已经在房间中
149,准备失败，不在此状态中
150,连庄失败，不在此状态中
151,连庄失败，无权限做此操作
152,押注失败，不在此状态中
153,押注失败，无权限做此操作
154,切牌失败，不在此状态中
155,解散房间失败，无权限做此操作
156,游戏进行中，不允许解散
157,亮牌失败，不在此状态中
158,找不到玩家
159,请求解散操作错误
